Brand,Model Name,Year,Price (USD),Mileage (km),Condition,City,Color,Battery (kWh),Range (km),Power (kW),0-100 km/h (s),Charging Type,Seller Type,Date Listed,Month,Sales Volume,Source,Data Type
BYD,BYD Atto 3,2022,34500,43953,Excellent,Phnom Penh,Black,50/60.5,340-420,150,7.3,GB-T/CCS2,Dealer,08-03-2022,3,12,carmatekh.com,Historical
BYD,BYD Atto 3,2022,33800,42372,Excellent,Battambang,Green,50/60.5,340-420,150,7.3,GB-T/CCS2,Private,03-06-2022,6,45,libertycarz.com,Historical
BYD,BYD Atto 3,2022,33200,33528,Excellent,Phnom Penh,White,50/60.5,340-420,150,7.3,GB-T/CCS2,Private,17-09-2022,9,78,dgmotorscar.com,Historical
BYD,BYD Atto 3,2022,32800,24390,Excellent,Battambang,Grey,50/60.5,340-420,150,7.3,GB-T/CCS2,Dealer,14-12-2022,12,95,mykhmercar.com,Historical
BYD,BYD Atto 3,2023,32000,29841,Excellent,Sihanoukville,White,50/60.5,340-420,150,7.3,GB-T/CCS2,Dealer,26-01-2023,1,110,carmatekh.com,Historical
BYD,BYD Atto 3,2023,31500,30082,Excellent,Phnom Penh,White,50/60.5,340-420,150,7.3,GB-T/CCS2,Authorized Dealer,25-04-2023,4,155,bydkh.com,Historical
BYD,BYD Atto 3,2023,31200,19596,Like New,Phnom Penh,Black,50/60.5,340-420,150,7.3,GB-T/CCS2,Private,12-07-2023,7,205,dgmotorscar.com,Historical
BYD,BYD Atto 3,2023,30800,18700,Like New,Kampong Cham,Silver,50/60.5,340-420,150,7.3,GB-T/CCS2,Dealer,13-10-2023,10,245,libertycarz.com,Historical
BYD,BYD Atto 3,2024,30600,17312,Like New,Sihanoukville,Grey,50/60.5,340-420,150,7.3,GB-T/CCS2,Authorized Dealer,28-02-2024,2,261,carmatekh.com,Historical
BYD,BYD Atto 3,2024,30400,14235,New,Battambang,White,50/60.5,340-420,150,7.3,GB-T/CCS2,Authorized Dealer,08-05-2024,5,290,bydkh.com,Historical
BYD,BYD Atto 3,2024,30200,8400,New,Kampot,Black,50/60.5,340-420,150,7.3,GB-T/CCS2,Private,15-08-2024,8,310,dgmotorscar.com,Historical
BYD,BYD Atto 3,2024,30100,6902,New,Phnom Penh,White,50/60.5,340-420,150,7.3,GB-T/CCS2,Private,09-11-2024,11,335,mykhmercar.com,Historical
BYD,BYD Atto 3,2025,26800,5745,New,Siem Reap,White,50/60.5,340-420,150,7.3,GB-T/CCS2,Dealer,24-01-2025,1,350,bydkh.com,Historical
BYD,BYD Atto 3,2025,27200,1766,New,Phnom Penh,Orange,50/60.5,340-420,150,7.3,GB-T/CCS2,Private,21-04-2025,4,380,carmatekh.com,Historical
BYD,BYD Atto 3,2025,27500,0,New,Battambang,Red,50/60.5,340-420,150,7.3,GB-T/CCS2,Dealer,25-07-2025,7,425,dgmotorscar.com,Historical
BYD,BYD Dolphin,2022,29500,36680,Excellent,Sihanoukville,Black,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Dealer,03-02-2022,2,8,dgmotorscar.com,Historical
BYD,BYD Dolphin,2022,28800,40330,Good,Phnom Penh,Silver,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Authorized Dealer,21-05-2022,5,25,carmatekh.com,Historical
BYD,BYD Dolphin,2022,28300,29682,Good,Phnom Penh,Blue,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Authorized Dealer,18-08-2022,8,85,libertycarz.com,Historical
BYD,BYD Dolphin,2022,27900,36642,Good,Koh Kong,Black,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Dealer,08-11-2022,11,180,mykhmercar.com,Historical
BYD,BYD Dolphin,2023,27600,30740,Excellent,Phnom Penh,White,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Dealer,04-01-2023,1,95,bydkh.com,Historical
BYD,BYD Dolphin,2023,26800,29146,Like New,Sihanoukville,Black,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Authorized Dealer,03-04-2023,4,126,carmatekh.com,Historical
BYD,BYD Dolphin,2023,26200,22885,Excellent,Phnom Penh,Cosmos Black,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Dealer,28-07-2023,7,195,dgmotorscar.com,Historical
BYD,BYD Dolphin,2023,25900,22960,Like New,Battambang,Silver,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Private,09-10-2023,10,285,libertycarz.com,Historical
BYD,BYD Dolphin,2024,25500,16558,New,Phnom Penh,White,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Private,01-01-2024,1,310,carmatekh.com,Historical
BYD,BYD Dolphin,2024,25000,16352,Like New,Kratie,Blue,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Dealer,17-04-2024,4,350,bydkh.com,Historical
BYD,BYD Dolphin,2024,24800,12320,Like New,Sihanoukville,Silver,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Dealer,07-07-2024,7,395,dgmotorscar.com,Historical
BYD,BYD Dolphin,2024,24400,7928,New,Phnom Penh,Blue,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Dealer,17-10-2024,10,433,mykhmercar.com,Historical
BYD,BYD Dolphin,2025,24800,4424,New,Phnom Penh,White,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Authorized Dealer,12-02-2025,2,339,bydkh.com,Historical
BYD,BYD Dolphin,2025,24500,922,New,Phnom Penh,Silver,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Dealer,03-05-2025,5,365,carmatekh.com,Historical
BYD,BYD Dolphin,2025,24200,0,New,Sihanoukville,Cosmos Black,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Dealer,18-08-2025,8,410,dgmotorscar.com,Historical
BYD,BYD Seagull,2023,22800,23355,Excellent,Preah Vihear,White,30/38.88,190-305,55,,GB-T/CCS2,Private,17-03-2023,3,15,carmatekh.com,Historical
BYD,BYD Seagull,2023,21500,24384,Like New,Kep,Blue,30/38.88,190-305,55,,GB-T/CCS2,Dealer,23-06-2023,6,34,dgmotorscar.com,Historical
BYD,BYD Seagull,2023,20800,24465,Excellent,Phnom Penh,Grey,30/38.88,190-305,55,,GB-T/CCS2,Authorized Dealer,12-09-2023,9,85,libertycarz.com,Historical
BYD,BYD Seagull,2023,20200,19152,Excellent,Phnom Penh,White,30/38.88,190-305,55,,GB-T/CCS2,Dealer,11-12-2023,12,145,bydkh.com,Historical
BYD,BYD Seagull,2024,20100,17616,New,Siem Reap,White,30/38.88,190-305,55,,GB-T/CCS2,Private,23-02-2024,2,250,carmatekh.com,Historical
BYD,BYD Seagull,2024,19800,10790,New,Phnom Penh,White,30/38.88,190-305,55,,GB-T/CCS2,Dealer,11-05-2024,5,320,dgmotorscar.com,Historical
BYD,BYD Seagull,2024,19500,10630,New,Phnom Penh,Silver,30/38.88,190-305,55,,GB-T/CCS2,Dealer,18-08-2024,8,400,libertycarz.com,Historical
BYD,BYD Seagull,2024,19300,8190,Like New,Phnom Penh,Silver,30/38.88,190-305,55,,GB-T/CCS2,Dealer,14-11-2024,11,464,mykhmercar.com,Historical
BYD,BYD Seagull,2025,17999,4240,New,Battambang,Black,30/38.88,190-305,55,,GB-T/CCS2,Authorized Dealer,14-01-2025,1,380,bydkh.com,Historical
BYD,BYD Seagull,2025,18500,2346,New,Battambang,Orange,30/38.88,190-305,55,,GB-T/CCS2,Dealer,04-04-2025,4,420,carmatekh.com,Historical
BYD,BYD Seagull,2025,18800,0,New,Kampong Cham,Red,30/38.88,190-305,55,,GB-T/CCS2,Dealer,04-07-2025,7,450,dgmotorscar.com,Historical
BYD,BYD Han,2020,78000,52982,Good,Phnom Penh,White,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Authorized Dealer,06-07-2020,7,10,dgmotorscar.com,Historical
BYD,BYD Han,2020,77100,55944,Good,Kampot,White,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Private,26-12-2020,12,25,carmatekh.com,Historical
BYD,BYD Han,2021,74500,43350,Good,Battambang,Silver,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Dealer,01-03-2021,3,42,carmatekh.com,Historical
BYD,BYD Han,2021,72800,56880,Good,Phnom Penh,Silver,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Authorized Dealer,07-06-2021,6,85,dgmotorscar.com,Historical
BYD,BYD Han,2021,71500,37350,Good,Phnom Penh,Orange,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Authorized Dealer,09-09-2021,9,165,libertycarz.com,Historical
BYD,BYD Han,2021,71000,39732,Fair,Battambang,Blue,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Private,26-12-2021,12,277,mykhmercar.com,Historical
BYD,BYD Han,2022,68500,45520,Good,Phnom Penh,Black,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Private,02-02-2022,2,38,carmatekh.com,Historical
BYD,BYD Han,2022,66800,43512,Excellent,Kampong Cham,White,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Authorized Dealer,19-05-2022,5,78,bydkh.com,Historical
BYD,BYD Han,2022,65500,35938,Excellent,Phnom Penh,Silver,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Dealer,28-08-2022,8,128,dgmotorscar.com,Historical
BYD,BYD Han,2022,65100,25885,Excellent,Battambang,White,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Private,04-11-2022,11,138,libertycarz.com,Historical
BYD,BYD Han,2023,64500,26854,Like New,Siem Reap,Black,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Private,19-01-2023,1,155,carmatekh.com,Historical
BYD,BYD Han,2023,64000,26675,Excellent,Kep,White,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Authorized Dealer,23-05-2023,5,250,dgmotorscar.com,Historical
BYD,BYD Han,2023,63700,19362,Excellent,Phnom Penh,Grey,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Authorized Dealer,10-09-2023,9,408,libertycarz.com,Historical
BYD,BYD Han,2024,61200,15376,New,Phnom Penh,Grey,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Dealer,19-02-2024,2,120,carmatekh.com,Historical
BYD,BYD Han,2024,60800,10881,New,Phnom Penh,White,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Dealer,12-05-2024,5,187,bydkh.com,Historical
BYD,BYD Han,2024,59800,8325,Like New,Phnom Penh,Black,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Private,18-09-2024,9,265,dgmotorscar.com,Historical
BYD,BYD Han,2025,45900,4770,New,Battambang,Silver,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Dealer,22-01-2025,1,180,bydkh.com,Historical
BYD,BYD Han,2025,48500,868,New,Phnom Penh,White,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Dealer,18-05-2025,5,220,carmatekh.com,Historical
BYD,BYD Han,2025,50200,0,New,Phnom Penh,White,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Dealer,11-08-2025,8,263,dgmotorscar.com,Historical
BYD,BYD Tang,2020,79000,72513,Fair,Phnom Penh,Black,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Dealer,28-03-2020,3,8,dgmotorscar.com,Historical
BYD,BYD Tang,2020,77500,50820,Fair,Sihanoukville,White,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Dealer,11-06-2020,6,25,carmatekh.com,Historical
BYD,BYD Tang,2020,76300,63056,Fair,Phnom Penh,Black,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Authorized Dealer,23-10-2020,10,120,libertycarz.com,Historical
BYD,BYD Tang,2021,74000,56524,Good,Phnom Penh,Pearl White,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Dealer,23-02-2021,2,55,carmatekh.com,Historical
BYD,BYD Tang,2021,72200,52871,Good,Sihanoukville,Silver,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Authorized Dealer,05-05-2021,5,145,dgmotorscar.com,Historical
BYD,BYD Tang,2021,71000,39790,Good,Phnom Penh,Green,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Dealer,26-08-2021,8,280,libertycarz.com,Historical
BYD,BYD Tang,2021,70600,42269,Good,Battambang,Grey,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Private,12-11-2021,11,415,mykhmercar.com,Historical
BYD,BYD Tang,2022,69500,41328,Excellent,Kep,White,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Dealer,06-01-2022,1,85,carmatekh.com,Historical
BYD,BYD Tang,2022,68500,38418,Excellent,Phnom Penh,Pearl White,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Authorized Dealer,26-04-2022,4,175,bydkh.com,Historical
BYD,BYD Tang,2022,67800,39970,Excellent,Phnom Penh,Blue,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Authorized Dealer,04-07-2022,7,333,dgmotorscar.com,Historical
BYD,BYD Tang,2022,67500,26208,Good,Phnom Penh,Red,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Authorized Dealer,15-10-2022,10,380,libertycarz.com,Historical
BYD,BYD Tang,2023,69100,26768,Like New,Phnom Penh,Grey,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Authorized Dealer,13-02-2023,2,100,carmatekh.com,Historical
BYD,BYD Tang,2023,68800,23550,Like New,Preah Vihear,Black,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Private,21-05-2023,5,195,dgmotorscar.com,Historical
BYD,BYD Tang,2023,69000,22088,Excellent,Kep,White,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Dealer,09-08-2023,8,211,libertycarz.com,Historical
BYD,BYD Tang,2024,65200,18649,Like New,Phnom Penh,Silver,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Private,12-01-2024,1,140,carmatekh.com,Historical
BYD,BYD Tang,2024,63800,12480,Like New,Siem Reap,Silver,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Private,13-05-2024,5,280,bydkh.com,Historical
