Brand,Model Name,Year,Price (USD),Mileage (km),Condition,City,Color,Battery (kWh),Range (km),Power (kW),0-100 km/h (s),Charging Type,Seller Type,Date Listed,Month,Sales Volume,Source,Data Type
BYD,BYD Sealion 6,2024,43749.4003789192,18972.0,Fair,Battambang,Blue,18.3,80-100 PHEV,145,8.5,GB-T/CCS2,Dealer,24-01-2025,1,,Synthetic (New Formula),Synthetic
Zeekr,Zeekr 007,2024,62200.11708185415,30996.0,New,Phnom Penh,Blue,75/100,530-688,310,3.5,GB-T/CCS2,Dealer,16-12-2024,12,,Synthetic (New Formula),Synthetic
Hyundai,Hyundai Ioniq 5,2023,39730.22060072623,10197.0,Excellent,Siem Reap,Black,58/72.6,354-488,125,7.4,GB-T/CCS2,Private,05-02-2022,2,,Synthetic (New Formula),Synthetic
BYD,BYD Atto 2,2024,24724.21532159588,23736.0,New,Phnom Penh,Cosmos Black,45.1,312-401,130,7.9,GB-T/CCS2,Authorized Dealer,14-06-2024,6,,Synthetic (New Formula),Synthetic
BYD,BYD Tang,2025,63028.86063002881,11154.0,New,Phnom Penh,Grey,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Authorized Dealer,13-02-2023,2,,Synthetic (New Formula),Synthetic
BYD,BYD Dolphin,2025,25258.522554513802,20853.0,Fair,Sihanoukville,Black,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Authorized Dealer,03-04-2023,4,,Synthetic (New Formula),Synthetic
BYD,BYD Sealion 7,2022,38797.55150833447,24403.0,Like New,Kampot,White,71.8/91.3,460-567,230,4.5,GB-T/CCS2,Private,15-02-2025,2,,Synthetic (New Formula),Synthetic
Xiaomi,Xiaomi SU7,2025,76225.25556206713,37296.0,Like New,Phnom Penh,Silver,73.6/94.3,495-830,220,5.3,GB-T/CCS2,Dealer,03-12-2024,12,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model Y,2024,59744.60260975053,12780.0,New,Sihanoukville,White,60/75/82,430-600,220,6.9,GB-T/CCS2,Dealer,28-12-2021,12,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 6,2022,22147.900930869957,28560.0,New,Sihanoukville,Black,59.6,399,110,,GB-T/CCS2,Private,21-11-2024,11,,Synthetic (New Formula),Synthetic
Avatr,Avatr 07,2023,43086.06018165225,27347.0,Like New,Phnom Penh,Grey,62.2/100.5,420-621,190,4.9,GB-T/CCS2,Dealer,26-05-2025,5,,Synthetic (New Formula),Synthetic
BYD,BYD Seal,2025,36233.02921054685,17388.0,Good,Phnom Penh,Green,61.4/82.5,400-550,150,3.8,GB-T/CCS2,Dealer,19-01-2024,1,,Synthetic (New Formula),Synthetic
Denza,Denza D9,2024,78264.62163560753,7924.0,Like New,Phnom Penh,Silver,103,600,230,6.9,GB-T/CCS2,Private,18-07-2024,7,,Synthetic (New Formula),Synthetic
BYD,BYD Sealion 6,2025,45128.50227109823,10329.0,New,Kampot,Blue,18.3,80-100 PHEV,145,8.5,GB-T/CCS2,Authorized Dealer,13-05-2024,5,,Synthetic (New Formula),Synthetic
MG,MG ZS EV,2024,27260.344850928792,20856.0,New,Phnom Penh,Silver,50.3/72.6,320-440,115,8.6,GB-T/CCS2,Private,25-04-2020,4,,Synthetic (New Formula),Synthetic
Nissan,Nissan Leaf,2022,25575.945614492608,47300.0,Fair,Siem Reap,Black,40/62,240-385,110,7.0,GB-T/CCS2,Authorized Dealer,23-11-2022,11,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 8,2023,42687.86561444532,39100.0,New,Phnom Penh,White,82/87.5,420-500,150,5.5,GB-T/CCS2,Authorized Dealer,17-04-2024,4,,Synthetic (New Formula),Synthetic
BMW,BMW iX1,2025,57408.153807832074,0.0,Like New,Battambang,White,64.7,417,150,8.6,GB-T/CCS2,Dealer,24-02-2023,2,,Synthetic (New Formula),Synthetic
Zeekr,Zeekr 001,2024,76011.0713896596,56784.0,New,Sihanoukville,Blue,86/100,560-620,200,3.3,GB-T/CCS2,Private,11-08-2023,8,,Synthetic (New Formula),Synthetic
AITO,AITO M5,2022,38553.79078173629,14310.0,New,Phnom Penh,Red,40,200 PHEV,200,4.8,GB-T/CCS2,Authorized Dealer,13-01-2024,1,,Synthetic (New Formula),Synthetic
