machine,working,idle,toolChanging,maintenance,average
TM01,2008.358611,731.6413889,140,0,69.734674
TM02,1069.688611,1249.561389,560.75,0,37.14196566
TM03,526.7458333,2200.004167,153.25,0,18.28978588
TM04,389.0091667,2217.740833,273.25,0,13.50726273
TM05,724.5383333,877.4616667,1278,0,25.15758102
TM06,509.4125,1132.0875,1238.5,0,17.68793403
TM07,941.3863889,1140.613611,798,0,32.68702739
TM08,934.8833333,1106.616667,838.5,0,32.46122685
TM09,386.0280556,2020.471944,461,12.5,13.40375193
TM10,559.2122222,1203.787778,1117,0,19.41709105
TM11,2066.57,793.93,19.5,0,71.75590278
TM12,1191.050278,1155.199722,533.75,0,41.35591242
TM13,988.4038889,1201.596111,690,0,34.31957948
TM14,482.8066667,1528.693333,868.5,0,16.76412037
