machine,working,idle,toolChanging,maintenance,average
TM01,1948.437222,833.8127778,97.75,0,67.65407022
TM02,2000.674444,842.0755556,37.25,0,69.46786265
TM03,2011.5,825.5,43,0,69.84375
TM04,1981.723056,831.2769444,67,0,68.80982832
TM05,1638.065833,828.1841667,413.75,0,56.87728588
TM06,1805.704167,893.5458333,180.75,0,62.69806134
TM07,1965.045556,847.9544444,67,0,68.23074846
TM08,1795.939167,870.0608333,214,0,62.35899884
TM09,1888.034722,850.7152778,128.75,12.5,65.55676119
TM10,1844.114722,873.8852778,162,0,64.03176119
TM11,2021.6625,824.8375,33.5,0,70.19661458
TM12,2017.246111,834.7538889,28,0,70.04326775
TM13,1868.471944,853.2780556,158.25,0,64.87749807
TM14,763.9538889,976.0461111,1140,0,26.5261767
