machine,working,idle,toolChanging,maintenance,average
TM01,981.2519444,379.4980556,55.25,0,69.2974537
TM02,1016.355,386.145,13.5,0,71.77648305
TM03,1004.978889,380.0211111,31,0,70.97308537
TM04,1000.938889,381.0611111,34,0,70.68777464
TM05,763.8808333,373.8691667,278.25,0,53.94638653
TM06,963.4227778,395.8272222,56.75,0,68.03833176
TM07,1004.943056,388.3069444,22.75,0,70.97055477
TM08,953.6786111,386.3213889,76,0,67.3501844
TM09,1017.087222,378.4127778,20.5,0,71.82819366
TM10,944.4055556,399.5944444,72,0,66.6953076
